Sample Data,2022 07 02 09_51
AIM Version,11.0.1
Classifier Model,3082,Classifier S/N,3082001809001,Classifier Firmware Version,2.3
Neutralizer Model,3088,Neutralizer S/N,
Impactor (cm),None,Impactor S/N,
DMA Model,3081,DMA S/N,
DMA Inner Radius (cm),0.9369999999999999
DMA Outer Radius (cm),1.9609999999999999
DMA Characteristic Length (cm),44.369
Detector Model,3750,Detector S/N,3750180803,Nano Enhancer,NONE
Detector Sample Flow (L/min),1,Detector Inlet Flow (L/min),1
Reference Gas Viscosity (Pa*s),1.832450e-5
Reference Mean Free Path (m),6.730000e-8
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),38.40
Tube Diameter (cm),0.48
Channels/Decade,128
Multiple Charge Correction,true
Nanoparticle Agglomerate Mobility Analysis,FALSE
DiffusionCorrection,true
Units,dW/dlogDp
Weight,Number
41,07/02/2022,09:49:51,22.5,100.9,61.2,6.74218e-8,1.83006e-5,,5646.643,5597.561,3759.544,1828.421,932.638,2822.551,2208.823,928.726,986.152,1684.375,1897.004,1170.610,1274.139,2766.139,2488.595,2240.422,1425.969,2866.442,972.589,2011.310,2723.995,2087.832,2324.614,2047.947,1533.597,1260.177,1708.103,769.443,1033.462,1392.015,495.646,1204.719,2147.805,2029.959,2347.307,963.591,848.693,586.153,1855.715,1619.223,1598.691,1252.597,1201.918,330.647,1316.118,1171.678,1034.676,1320.754,1982.061,1971.422,1471.793,1283.149,1500.139,1148.816,1092.417,1768.996,874.914,805.791,564.737,968.053,1087.212,1574.785,1101.640,1382.655,1135.703,1600.149,1792.947,1830.812,988.646,653.130,807.431,930.011,573.834,863.793,1202.712,1363.080,1302.156,1135.657,1798.074,1964.985,1155.250,229.009,570.679,714.376,997.122,458.827,774.651,1467.150,888.593,983.404,1110.650,908.953,1338.214,958.526,899.959,1825.560,1928.181,573.482,242.748,534.957,691.531,729.103,740.675,1345.009,1792.244,1371.094,1033.750,1227.713,1248.740,399.812,853.168,257.905,755.050,510.513,298.576,715.317,1178.351,1208.593,704.655,1518.431,985.903,827.397,1346.845,979.760,1351.077,911.979,673.290,508.530,147.970,792.825,11.759,757.967,862.446,578.772,1094.719,966.106,1736.225,1551.335,1974.555,1281.066,1080.439,751.688,652.426,631.548,96.931,387.120,0.000,0.000,278.105,0.000,467.206,251.959,712.154,607.154,405.212,114.735,78.618,134.854,230.130,78.041,338.408,170.218,391.051,27.848,0.000,0.000,27.116,140.191,142.317,0.000,346.267,473.162,763.265,1297.501,1125.653,1282.955,866.709,397.837,200.621,202.342,612.241,205.854,103.823,209.465,261.208,482.572,430.136,325.463,0.000,331.302,0.000,224.847,113.431,228.898,808.362,701.639,820.422,830.436,478.776,120.771,0.000,122.955,0.000,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,61.817,120.819,72.402,20.721,2.621,1.60377e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
42,07/02/2022,09:51:22,22.6,101.0,61.1,6.73840e-8,1.83054e-5,,3857.905,6631.860,3846.307,3367.995,5558.753,4463.306,3257.542,2659.991,2643.709,2406.782,3294.571,1846.323,3364.693,2983.287,3567.259,2040.767,1372.528,2429.866,1726.038,2593.522,2997.365,3483.618,1646.932,4032.039,3163.424,3339.150,1502.564,1675.057,1913.848,1899.120,1779.967,2152.867,1352.294,1480.909,1709.718,1507.204,1299.144,1825.164,2145.265,2617.694,2557.800,2130.635,2301.324,2547.241,1428.694,1705.306,1190.846,1222.462,2318.595,3648.598,2927.689,2555.460,2922.776,1912.932,1121.517,2475.911,1820.974,2536.574,2766.251,2928.847,2006.873,1550.738,1554.786,2048.639,2324.250,2400.887,1751.592,1736.687,2819.459,1391.946,1986.311,1320.150,1210.822,1877.431,1137.975,1081.422,840.465,1696.485,1363.453,2184.142,1089.240,2120.312,1819.421,1186.440,1160.865,1261.304,922.282,1428.252,1125.289,1404.318,749.454,1380.924,1442.866,1035.156,1467.646,1453.818,1213.017,1500.220,1889.530,821.845,1516.935,1819.734,1372.021,1350.609,1160.457,832.222,1736.684,1748.253,906.618,1591.299,1329.282,1405.230,1073.818,991.852,982.689,618.373,1094.770,590.384,555.484,1004.850,549.533,403.067,671.782,919.182,932.147,927.543,346.275,907.629,642.370,278.100,513.116,636.808,796.171,639.472,246.369,293.494,0.000,414.704,143.804,650.650,720.683,649.117,554.629,353.547,562.293,19.989,48.769,337.113,213.882,65.857,0.000,302.990,400.690,506.064,80.675,361.283,572.694,650.145,348.384,0.000,83.128,13.718,604.763,524.027,528.398,209.151,246.810,0.000,238.027,206.230,252.372,189.246,190.802,96.185,591.409,381.586,263.990,131.580,100.303,303.490,408.133,0.000,258.773,367.317,261.307,269.265,0.000,108.474,0.000,220.852,111.411,0.000,347.406,221.678,0.000,0.000,117.560,0.000,598.451,28.157,93.438,122.946,0.000,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,51.475,86.655,58.622,21.097,2.248,2.05661e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
43,07/02/2022,09:52:52,22.8,101.0,60.6,6.74419e-8,1.83150e-5,,6253.279,7999.866,5445.055,4384.622,4229.776,4937.864,4080.071,2552.510,2399.970,3464.737,3758.420,3603.510,1754.061,3202.115,1626.671,943.422,1889.423,1839.511,1614.229,4121.801,4247.376,3281.235,2015.874,2214.127,2859.781,2179.793,2116.196,2146.111,1719.954,1843.593,1968.031,2058.186,1625.407,3138.003,2553.166,2886.149,2200.054,3194.679,2286.754,3123.269,1001.275,1884.357,2770.728,2489.924,1380.402,2561.672,1883.940,1592.620,2196.138,1753.430,1811.588,3507.267,2280.224,2276.187,1714.965,1446.841,1185.803,1570.802,2115.585,1206.174,3576.411,1559.024,2047.039,1224.909,810.984,1572.657,1189.562,2136.661,1941.769,2244.318,1983.931,2475.386,1821.351,2100.914,1418.242,1880.881,1118.913,2178.090,2037.511,1868.725,1891.254,1314.387,1141.873,1383.707,1020.125,1634.887,1454.510,1035.525,604.393,1177.952,1463.127,1395.210,600.542,1000.570,1304.348,478.487,303.817,1225.630,1532.664,1100.443,1114.850,1501.369,1024.939,763.790,1118.250,621.846,673.506,757.432,672.343,838.606,978.540,1413.736,1027.108,1286.457,1205.729,1493.412,877.730,239.723,1312.880,1007.421,1026.237,413.334,251.006,859.319,373.622,879.216,370.336,0.000,669.458,757.750,1477.268,910.378,1126.494,498.010,1016.723,344.944,0.000,56.826,244.240,305.917,592.672,99.376,453.927,720.592,241.189,13.878,0.000,0.000,230.044,0.000,268.358,198.318,64.675,630.337,1492.052,593.440,703.571,351.836,375.929,219.285,0.000,0.000,0.000,48.338,885.319,1066.328,391.463,732.237,317.884,96.359,409.845,216.447,128.877,158.653,96.994,430.557,552.099,388.206,611.625,404.697,547.608,579.877,103.822,209.480,522.310,432.373,752.771,325.477,109.456,331.311,557.122,899.428,801.165,764.842,144.894,582.631,0.000,614.913,576.563,120.776,243.725,368.880,372.177,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,49.433,100.751,60.524,21.097,2.473,2.14295e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
44,07/02/2022,09:54:23,23.0,101.0,61.0,6.74999e-8,1.83245e-5,,3506.028,1865.503,2401.605,2403.508,2535.151,1876.886,1204.253,2643.824,2977.287,2409.916,2281.983,2520.876,1319.501,3456.674,2504.133,2840.156,3303.011,2818.463,2066.442,1645.704,1969.099,1393.864,2051.288,2845.934,2125.838,3049.730,1985.568,2166.718,2248.423,1535.400,1561.523,1245.761,1991.686,1316.298,2189.503,1166.676,1834.977,2304.827,1687.900,1283.979,1542.950,1056.124,1165.615,1905.873,1148.521,1507.914,1379.996,1016.583,1399.814,1417.668,1429.849,1319.555,1239.699,684.765,2185.923,1286.186,1349.721,1351.259,1090.960,907.036,1413.648,1370.436,1444.555,1221.800,539.112,852.160,2134.518,2214.845,1406.403,819.557,1188.063,829.747,1890.381,1397.158,1413.901,1263.329,1676.123,993.260,1133.757,1079.780,1187.116,1102.867,857.245,1527.420,1097.713,1173.161,1831.745,1210.764,1352.421,1046.410,1470.614,667.966,1268.686,808.294,905.172,993.820,863.692,1062.310,1229.245,1100.407,324.093,731.445,617.075,667.913,769.243,347.609,1463.899,916.521,603.453,813.191,274.589,295.887,626.078,763.316,649.450,1223.281,615.368,1026.465,748.431,555.720,1057.955,1064.772,479.965,814.312,743.891,1253.537,1601.117,744.554,893.440,853.995,744.422,304.187,664.754,817.629,1296.252,1089.117,1045.922,573.825,1015.385,512.636,798.856,840.118,594.439,0.000,290.865,756.952,499.930,260.333,169.448,523.686,473.384,263.772,197.318,0.000,348.277,568.030,638.112,205.452,0.000,486.201,45.874,502.115,214.584,341.843,384.395,0.000,4.098,84.538,0.000,0.000,0.000,0.000,381.695,263.194,316.657,391.273,394.557,497.377,109.485,116.838,179.009,102.944,0.000,0.000,105.663,106.601,0.000,217.010,547.347,552.259,222.875,224.878,113.449,228.934,0.000,233.073,587.938,593.250,239.429,724.759,365.630,882.448,598.563,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,54.892,107.749,66.219,20.721,2.480,1.65903e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
45,07/02/2022,09:55:53,23.1,101.0,61.2,6.75289e-8,1.83293e-5,,8027.951,4754.570,6590.836,2625.637,3673.478,3263.365,2125.160,3968.269,2244.289,4785.127,4108.762,3560.007,2179.797,1670.935,2736.667,2697.303,2579.792,1544.474,2524.357,1180.503,1758.058,3133.652,2099.071,1665.034,2239.402,2925.548,1126.112,1291.417,1157.840,2274.527,2262.382,2015.065,2622.527,2998.016,1674.000,299.211,1984.088,1000.112,1844.770,1412.473,2426.531,2381.119,1374.384,1830.374,1007.398,813.931,941.889,1290.966,1258.167,1062.162,1149.039,1437.308,2374.212,1452.168,1361.688,1254.861,1195.205,1727.732,1725.157,2405.783,1848.986,1506.349,1469.086,1418.661,1419.902,635.409,1264.309,1402.508,1007.207,1104.198,1081.281,1454.214,990.295,1607.829,1192.367,1400.696,1001.412,1008.955,965.228,758.903,1273.548,1108.419,1189.102,1120.008,1281.086,473.784,581.345,541.668,705.580,1005.417,849.917,912.075,1195.624,825.445,556.862,754.180,822.123,767.029,1219.032,1285.481,1353.984,1374.147,1133.025,670.765,1087.674,1176.888,944.138,752.218,366.915,739.093,613.675,1064.376,625.296,1398.545,892.197,768.059,818.298,547.330,970.826,697.537,947.925,348.825,558.963,1077.628,711.453,565.576,511.371,563.575,645.572,449.676,605.714,420.611,845.236,643.515,19.137,170.130,789.547,718.582,757.071,764.067,373.547,240.010,216.178,497.838,55.879,256.715,154.972,220.709,523.329,261.225,262.695,17.964,0.000,39.374,0.000,12.773,129.435,372.544,305.306,116.441,304.284,0.000,14.652,255.002,352.923,0.000,265.450,103.709,397.632,0.000,463.128,333.631,318.766,640.763,105.120,323.857,355.695,99.481,0.000,202.387,204.127,205.899,362.081,263.287,366.597,269.809,430.230,40.222,506.800,110.458,67.527,269.209,340.367,228.948,0.000,116.543,352.778,355.971,119.722,120.797,365.651,368.944,248.161,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,44.709,91.189,56.553,20.721,2.407,1.73841e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
46,07/02/2022,09:57:24,23.3,101.0,61.1,6.75869e-8,1.83388e-5,,4441.843,6427.560,4377.276,5847.063,2514.521,3102.895,1306.006,4927.002,3046.397,3038.696,3997.852,3651.247,1709.261,3019.942,1456.455,1423.504,1983.226,1544.707,1738.390,2562.111,1777.120,2114.499,2578.880,3333.870,2976.754,1844.270,1672.459,1169.899,1140.011,1883.682,2514.918,2422.979,3384.994,1936.734,1530.310,1031.670,1548.039,986.359,1959.428,1524.550,743.885,1027.386,1524.328,1229.334,2430.701,2045.915,1907.295,1661.425,1472.812,2020.168,2032.663,1991.102,1980.738,2323.748,1679.265,1158.229,1274.399,1136.806,1401.012,1522.851,1732.864,1706.127,1656.992,1143.437,277.583,1883.363,1011.674,1172.879,750.800,1652.167,1276.935,1633.421,982.938,1204.723,1543.609,1226.435,1401.636,1293.752,519.812,1748.083,1566.555,758.141,911.492,1116.321,1432.655,1319.612,976.000,1318.052,1673.254,993.509,1157.687,1038.489,1723.668,903.412,1338.228,1457.402,1141.075,1238.376,1834.408,1574.073,1762.168,1541.735,1136.784,1506.221,565.420,1104.242,932.032,920.661,1011.859,1564.491,1461.001,895.097,1522.718,829.065,689.638,1035.450,856.888,235.334,1292.562,1169.921,1398.168,994.579,904.109,1260.939,954.421,784.337,547.360,816.452,120.080,176.830,497.975,184.049,745.702,960.712,483.997,688.770,527.455,565.116,64.354,673.961,443.878,576.595,168.228,805.763,352.818,456.769,847.508,411.012,0.000,2.532,715.855,99.337,166.943,369.504,108.974,618.581,907.092,696.598,383.750,402.211,237.778,0.000,58.674,133.970,0.000,0.000,328.295,303.906,0.000,0.000,140.769,545.490,286.322,0.000,388.106,97.836,394.627,99.493,602.077,0.000,102.076,514.809,311.568,209.536,211.373,213.239,215.140,0.000,0.000,220.937,111.457,562.307,226.938,170.617,335.911,769.494,588.035,356.012,86.486,275.171,243.796,368.987,124.095,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,51.392,97.986,61.633,21.097,2.426,1.86762e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
47,07/02/2022,09:58:54,23.4,101.0,61.6,6.76158e-8,1.83436e-5,,1602.958,4458.801,4763.684,5583.963,3189.114,5329.800,3257.780,2815.138,2566.895,2115.732,2336.674,2306.755,2642.930,1471.116,1241.834,1613.578,2399.263,1442.883,484.230,1764.455,1726.440,2051.853,2371.552,1652.322,2637.387,1534.699,2791.389,2360.627,1604.735,1106.099,2108.194,615.365,2404.942,2058.247,1521.263,1700.460,1269.776,1153.887,1475.675,2346.684,2003.287,1959.341,1107.896,1904.821,2001.942,1929.354,1386.800,1210.152,1371.035,1528.736,1555.937,1694.029,1353.237,1461.377,734.102,1688.893,1247.386,1491.487,1559.744,2032.503,1344.856,602.762,1686.860,1231.339,986.387,963.310,1251.223,1419.630,1729.890,1942.375,1510.838,1843.339,1301.457,1262.166,2091.722,769.348,1024.797,1237.793,1086.132,928.141,1322.702,870.256,887.117,1159.907,1349.998,1642.105,490.146,594.017,1004.479,931.719,1064.782,1269.802,1328.169,1287.078,947.418,838.672,1451.213,925.978,1064.831,2233.320,1353.020,802.258,1191.221,717.555,1056.172,1041.961,793.351,796.947,228.224,1758.251,1035.607,1033.349,325.433,700.759,674.827,733.956,171.361,954.777,750.345,616.079,440.588,433.638,414.909,895.837,1953.511,1221.531,1232.299,379.660,788.265,466.556,1028.019,942.056,888.994,941.638,722.684,549.295,248.222,611.522,1038.937,804.216,652.956,789.375,1118.767,144.201,155.131,352.932,487.936,228.176,346.947,84.925,127.479,182.017,199.421,0.000,18.068,66.789,368.951,495.361,371.536,655.187,66.816,117.925,41.006,140.654,526.055,228.421,264.782,0.000,0.000,41.366,92.834,27.184,286.339,0.000,291.086,233.465,60.563,685.551,512.801,202.423,306.245,102.968,519.320,628.661,317.078,106.626,215.153,325.592,221.520,218.403,445.854,787.276,567.377,457.976,462.093,466.254,117.615,356.033,239.485,632.329,337.224,123.003,372.306,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,53.260,105.895,64.488,21.870,2.498,1.73210e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
48,07/02/2022,10:00:25,23.3,100.9,61.7,6.76538e-8,1.83388e-5,,6250.529,5830.149,8477.212,6314.970,3404.627,3807.250,4071.642,4456.252,6654.694,5464.163,7854.129,3708.302,3583.322,2766.588,2516.916,3085.212,3995.391,1738.733,3754.379,3042.837,1934.869,2265.854,1006.639,1706.140,1753.150,3685.789,2190.598,3259.316,3105.049,2498.926,1699.153,1607.461,909.831,2557.583,1838.635,1285.876,2374.076,1278.682,1395.674,1119.880,2363.427,1748.008,1911.696,825.554,1651.312,1297.909,1651.335,1921.689,716.476,2321.997,1223.585,922.582,1392.997,966.534,1432.480,1985.619,1220.630,1548.851,1755.840,1110.221,433.446,1845.024,958.143,1822.950,2429.683,1055.130,1564.315,1725.811,1519.190,1029.349,1364.110,2194.010,1532.340,799.760,1522.302,2113.547,1036.059,945.731,1718.520,1270.724,1346.323,1257.948,1449.519,1122.072,1037.549,1293.193,1411.986,1051.502,723.724,865.241,1280.194,749.089,851.339,1544.646,582.733,949.212,1484.589,650.194,1234.945,1250.497,739.797,1301.546,1124.025,940.233,1033.357,654.409,1076.207,908.810,875.193,509.973,1050.590,1095.272,1027.506,591.536,1335.728,1216.028,921.716,986.671,838.528,1006.556,620.581,791.639,318.603,349.214,1044.114,597.192,608.933,720.101,970.253,545.788,576.469,675.848,710.846,711.811,346.536,297.991,349.353,27.036,492.163,307.155,750.884,322.980,365.580,385.749,206.431,68.198,294.485,387.255,27.356,186.912,0.000,0.000,11.591,229.031,72.169,143.076,737.277,287.435,59.531,144.442,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,111.720,0.000,425.885,411.827,0.000,96.238,0.000,135.289,356.926,298.519,401.432,708.547,480.827,647.724,519.354,314.354,634.204,213.268,322.754,236.952,527.464,331.458,290.376,944.242,1021.356,572.512,392.596,536.447,1484.106,401.511,838.254,362.482,121.914,123.012,124.111,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,42.187,95.401,55.359,21.480,2.505,2.03593e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
49,07/02/2022,10:01:55,23.2,101.0,61.6,6.75579e-8,1.83340e-5,,6430.673,5643.559,5174.897,5673.842,3671.164,4846.590,6952.429,4641.844,2472.870,2209.260,4196.325,2711.831,1739.357,3021.166,3288.424,2462.578,2628.291,2015.087,2448.939,1293.302,2824.332,1708.766,427.449,1803.998,2654.504,2364.200,1844.878,2301.868,2422.033,2630.559,1662.485,2776.806,2330.137,1775.359,3064.586,2517.666,2191.640,2893.225,1815.675,1540.377,2129.071,2067.024,2086.071,1982.320,1437.722,1368.253,1788.378,1359.694,982.705,688.215,1788.340,1447.380,2026.665,1801.679,1384.835,735.288,1453.993,1505.103,1683.342,1864.341,1478.161,1179.821,1575.003,2291.634,1232.043,762.008,1552.405,1375.090,1451.603,1569.358,645.233,896.616,1014.968,698.645,1370.983,1365.698,996.096,1572.341,1132.831,842.678,666.322,1483.533,815.506,925.548,1194.288,1195.560,1097.872,1363.087,995.647,1076.256,1241.796,580.734,1492.233,1005.904,1679.093,1528.360,1190.758,1041.013,1595.455,1874.089,957.067,1408.865,1467.866,1648.179,1740.401,665.663,897.619,2091.051,1005.120,431.922,633.681,1132.201,866.561,608.223,1087.940,1378.685,1011.894,780.081,563.350,822.390,869.558,899.007,343.072,919.551,661.771,768.522,303.258,383.241,397.636,1117.862,743.482,803.690,345.995,571.719,257.300,460.611,212.281,781.022,632.681,351.783,468.997,217.381,773.995,271.690,581.869,1019.525,465.247,135.995,685.007,319.954,173.362,0.000,215.496,486.350,675.024,1045.203,757.705,358.134,238.013,223.885,202.791,258.477,183.775,530.702,787.721,190.640,1052.071,218.776,474.641,736.535,706.089,613.065,391.022,192.438,298.876,285.599,361.312,232.548,309.786,497.151,510.347,926.602,465.829,472.957,317.041,213.227,0.000,108.518,109.482,220.929,445.802,264.206,300.739,228.955,115.510,0.000,0.000,162.208,281.995,33.555,0.000,0.000,0.000,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,46.137,96.330,59.522,23.082,2.471,1.98076e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
50,07/02/2022,10:03:26,23.2,100.9,61.5,6.76248e-8,1.83340e-5,,6353.460,7401.767,5343.705,7696.023,7604.197,6332.206,1879.318,2991.588,4907.512,5023.006,3710.234,2998.019,3539.149,2990.984,5050.788,4248.904,3009.822,2830.308,3333.772,3403.302,2461.874,3350.570,4049.920,3010.050,2456.511,2558.993,4060.789,2351.794,2058.622,2592.450,2221.843,1987.728,2104.226,2501.160,3082.734,2564.682,2294.690,4179.509,2349.570,2383.866,2095.002,2125.052,870.789,1230.202,1369.244,1536.423,1479.284,1297.136,1650.981,1453.781,900.745,2001.842,1762.681,1456.286,1024.830,1504.246,1089.187,2277.853,1460.545,1302.240,1126.033,1161.415,942.779,1467.220,1558.491,979.329,1446.165,1609.700,969.454,546.722,1090.399,1839.705,1231.741,1136.346,556.653,834.902,1010.281,999.988,809.488,395.697,815.690,659.336,1616.332,194.663,1387.464,691.760,1098.901,915.938,1241.856,831.552,831.186,1208.849,1287.245,632.732,901.522,1695.582,1578.119,1307.441,1935.632,901.400,1643.457,1168.003,615.234,1317.445,602.919,1063.416,1327.813,773.714,892.167,943.937,648.338,782.070,949.321,898.564,817.025,690.345,486.784,1192.570,710.237,858.369,772.920,419.809,448.813,777.342,810.877,376.703,1404.143,684.202,1230.185,1102.697,508.017,746.972,626.863,396.609,71.286,639.244,529.207,508.303,487.034,377.611,621.602,289.285,0.000,0.000,193.371,458.357,230.062,627.876,976.811,30.080,199.545,0.000,427.275,0.000,0.000,490.497,166.405,483.817,0.000,0.000,0.000,0.000,148.208,992.331,175.326,79.105,0.000,142.522,0.000,0.000,220.606,199.573,222.277,449.521,395.283,188.459,98.664,398.002,317.683,715.851,588.161,308.909,311.597,261.108,786.402,113.843,322.735,345.528,1296.396,1102.256,1560.542,899.759,226.955,628.593,174.426,235.687,540.438,898.002,97.756,724.928,853.355,369.009,248.208,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,39.958,98.887,55.579,21.870,2.567,2.13076e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
51,07/02/2022,10:04:56,23.2,100.9,61.4,6.76248e-8,1.83340e-5,,5864.129,5591.039,4327.148,5806.264,4541.796,3557.535,5247.202,5098.327,3914.790,6672.527,4979.306,3661.334,3981.480,2143.047,2736.259,2213.913,2855.513,2336.170,3575.500,2083.381,1608.810,1342.519,1705.323,1130.443,1926.565,2250.826,1794.695,1418.867,2571.413,1302.222,1251.369,1660.674,2136.781,1625.312,1960.043,922.363,1287.827,1297.846,1156.355,1448.601,1274.719,1149.452,2245.303,1180.217,2274.966,929.586,1496.977,1274.309,913.806,702.639,976.075,1402.367,795.597,1558.155,1029.592,774.413,1329.541,1127.474,1574.841,1027.334,237.475,948.566,1102.201,594.175,1036.879,904.216,1071.911,1194.957,2110.995,1468.668,469.388,1027.151,1419.602,1190.236,1026.849,1188.029,461.238,1129.067,759.407,1366.339,342.696,1159.072,1039.913,821.790,1216.070,853.383,818.776,384.834,597.160,1023.827,485.740,874.492,948.386,972.911,1415.075,879.022,917.682,845.425,499.263,1574.163,1141.188,909.506,860.131,459.749,949.895,368.493,1549.013,843.952,1323.401,1190.898,2783.126,1627.466,1141.721,1989.201,1482.210,795.934,961.263,1224.685,868.245,1213.058,1207.079,1641.380,1022.397,605.301,687.411,1317.046,1356.352,1019.609,1309.020,610.849,911.546,261.954,1113.307,586.621,298.981,607.828,332.453,676.078,949.663,485.078,676.683,765.648,451.817,517.871,584.962,461.162,31.741,573.869,207.628,105.858,449.225,239.842,139.594,245.378,359.993,0.000,273.814,265.420,346.804,0.000,128.098,0.000,51.202,68.245,206.440,250.954,83.504,41.821,0.000,0.000,0.000,89.651,95.448,288.696,194.061,587.053,326.955,366.777,0.000,303.634,0.000,411.878,465.601,158.977,211.389,319.883,248.659,183.265,2.516,549.859,334.396,337.409,226.966,343.487,577.626,116.565,117.617,356.039,119.744,724.921,365.721,636.669,549.979,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,44.317,98.675,58.695,24.362,2.549,1.82986e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
52,07/02/2022,10:06:27,23.2,100.9,61.4,6.76248e-8,1.83340e-5,,4845.422,3028.615,4909.188,3202.863,3781.876,3368.189,3156.007,3861.510,6109.934,4809.296,3343.294,3820.112,2424.401,3208.275,6160.013,5705.783,3627.505,2948.226,1376.347,1586.356,4326.821,3534.604,3199.005,2899.263,1758.596,2712.820,3247.700,2268.413,1871.448,1718.024,1826.510,3206.282,2949.255,2349.127,1884.777,2809.801,2190.046,3760.725,1446.480,3958.042,1792.821,1777.137,1619.733,2100.342,1927.656,1624.576,1907.442,713.258,1559.957,1275.423,1331.682,1511.620,2190.272,2603.626,1628.088,1995.836,1499.867,2809.770,1842.828,3475.113,2846.128,1160.619,1633.168,1280.624,1030.623,1470.140,490.176,1798.439,918.011,666.264,1618.223,554.835,1119.926,1255.452,829.852,1223.454,568.244,668.342,645.763,1639.380,1655.723,1056.371,1588.741,813.152,1555.762,1338.212,1160.983,1008.031,1093.367,2041.040,1248.739,1237.014,1630.851,1350.068,1297.310,1015.653,1563.725,1022.059,1458.933,1441.761,898.618,1631.255,1069.309,731.101,1387.649,927.934,508.442,1136.335,1163.952,1138.011,1029.295,1023.687,968.515,391.307,1049.931,366.801,664.974,539.243,969.158,458.954,742.607,291.953,1112.527,1193.855,1641.272,824.691,940.599,1351.946,1036.622,509.617,1263.463,924.832,725.272,802.890,759.027,922.872,941.889,1096.088,1178.706,835.381,972.898,908.078,1079.321,1005.294,610.571,499.789,699.590,1442.372,980.787,252.560,326.806,375.928,178.292,280.494,0.000,499.146,204.484,0.000,181.409,431.998,89.890,0.000,0.000,0.000,0.000,132.004,0.000,0.000,26.922,204.938,0.000,127.397,95.448,261.933,26.986,293.529,197.328,199.001,8.313,194.041,240.561,420.244,266.128,419.130,211.389,106.622,107.578,108.532,218.994,0.000,0.000,601.609,187.343,343.487,115.525,0.000,0.000,356.039,239.489,0.000,209.446,34.677,124.104,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,44.868,87.081,57.142,26.655,2.322,2.11424e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
